id,nome
1,ácido zoledrônico
2,ácido zoledrônico
3,ácido zoledrônico
4,aspirina
5,bevacizumabe
6,encorafenibe
7,cisplatina
8,digoxina
9,morfina
10,docetaxel
11,digoxina
12,fluorouracil
13,vincristina
14,glicerina
15,glicerina
16,imatinibe
17,trastuzumabe
18,ibandronato de sódio
19,ibandronato de sódio
20,interferon alfa 2a
21,imiquimode
22,lactulose
23,rituximabe
24,psyllium
25,sorafenibe
26,tamoxifeno
27,oxicodona
28,paclitaxel
29,paclitaxel
30,paclitaxel
31,paclitaxel
32,sorbitol e manitol
33,sunitinibe
34,dabrafenibe
35,panitumumabe
36,ipilimumabe
37,vemurafenibe
38,dacarbazina
39,dacarbazina
40,digoxina
41,docetaxel tri-hidratado
42,docetaxel
43,ibandronato de sódio
44,ibandronato de sódio
45,temozolomida
46,temozolomida
47,temozolomida
48,blinatumomabe
49,tamarine
